Product ID,Product Category,Product Position,Price,Promotion,Foot Traffic,Consumer Demographics,Seasonal,Competitor Price,Sales Volume,Price Difference,Traffic Weight,Traffic Conversion Index
PRD0001,Food,Front of Store,496.77,True,High,Young Adults,False,478.07,292,18.7,3,97.33
PRD0002,Clothing,End-cap,120.91,True,High,Seniors,False,137.26,2533,-16.35,3,844.33
PRD0003,Clothing,Aisle,458.62,False,High,Families,True,490.54,481,-31.92,3,160.33
PRD0004,Food,End-cap,290.17,False,Low,Seniors,False,298.76,272,-8.59,1,272.0
PRD0005,Electronics,End-cap,290.85,True,Low,Young Adults,False,260.84,832,30.01,1,832.0
PRD0006,Clothing,Aisle,387.41,True,Low,Young Adults,True,347.43,788,39.98,1,788.0
PRD0007,Clothing,Aisle,410.1,False,Medium,College Students,True,355.73,707,54.37,2,353.5
PRD0008,Clothing,End-cap,122.27,False,Medium,College Students,True,135.7,900,-13.43,2,450.0
PRD0009,Food,Aisle,438.75,True,High,Young Adults,False,452.06,1263,-13.31,3,421.0
PRD0010,Clothing,Front of Store,492.92,False,Medium,Seniors,False,523.69,828,-30.77,2,414.0
PRD0011,Food,Aisle,263.02,False,Medium,Families,False,225.19,613,37.83,2,306.5
PRD0012,Food,Front of Store,209.71,True,Low,Seniors,True,239.27,651,-29.56,1,651.0
PRD0013,Food,Front of Store,141.2,True,High,Seniors,True,155.28,1327,-14.08,3,442.33
PRD0014,Clothing,Front of Store,250.72,False,Low,Seniors,False,256.37,412,-5.65,1,412.0
PRD0015,Food,Aisle,297.88,False,Medium,Seniors,False,269.45,386,28.43,2,193.0
PRD0016,Electronics,Aisle,368.93,True,Low,Families,False,333.89,416,35.04,1,416.0
PRD0017,Clothing,End-cap,91.69,True,High,College Students,False,86.31,671,5.38,3,223.67
PRD0018,Clothing,Aisle,340.98,False,Medium,College Students,False,343.51,533,-2.53,2,266.5
PRD0019,Clothing,Aisle,280.15,False,High,Families,False,274.43,527,5.72,3,175.67
PRD0020,Clothing,Front of Store,28.21,False,Medium,Families,False,26.44,401,1.77,2,200.5
PRD0021,Clothing,Aisle,175.49,True,Medium,Seniors,False,181.38,753,-5.89,2,376.5
PRD0022,Food,Aisle,323.44,False,Medium,Families,False,288.46,708,34.98,2,354.0
PRD0023,Food,Front of Store,193.67,False,High,College Students,False,181.59,1147,12.08,3,382.33
PRD0024,Clothing,Aisle,264.61,False,Low,Young Adults,False,254.0,185,10.61,1,185.0
PRD0025,Food,Front of Store,349.67,True,High,Young Adults,False,345.06,822,4.61,3,274.0
PRD0026,Clothing,Aisle,207.09,False,Medium,Young Adults,True,224.81,705,-17.72,2,352.5
PRD0027,Food,Aisle,153.44,True,High,Seniors,True,139.62,687,13.82,3,229.0
PRD0028,Food,End-cap,96.02,True,High,College Students,False,96.43,1400,-0.41,3,466.67
PRD0029,Food,Aisle,271.27,True,High,Young Adults,True,278.79,961,-7.52,3,320.33
PRD0030,Food,Front of Store,124.28,False,Medium,Seniors,False,107.37,425,16.91,2,212.5
PRD0031,Electronics,Aisle,116.55,True,High,Young Adults,True,120.31,1106,-3.76,3,368.67
PRD0032,Clothing,End-cap,429.48,True,High,Families,False,387.03,818,42.45,3,272.67
PRD0033,Electronics,Aisle,76.45,True,Low,Families,True,66.47,372,9.98,1,372.0
PRD0034,Food,Aisle,234.2,False,Low,Seniors,False,265.74,421,-31.54,1,421.0
PRD0035,Electronics,Front of Store,33.52,True,High,Seniors,True,38.2,671,-4.68,3,223.67
PRD0036,Clothing,End-cap,209.28,False,High,Seniors,False,228.64,1307,-19.36,3,435.67
