Product ID,Product Category,Product Position,Price,Promotion,Foot Traffic,Consumer Demographics,Seasonal,Competitor Price,Sales Volume
PRD0001,Food,Front of Store,496.77,Yes,High,Young Adults,No,478.07,292
PRD0002,Clothing,End-cap,120.91,Yes,High,Seniors,No,137.26,2533
PRD0003,Clothing,Aisle,458.62,No,High,Families,Yes,490.54,481
PRD0004,Food,End-cap,290.17,No,Low,Seniors,No,298.76,272
PRD0005,Electronics,End-cap,290.85,Yes,Low,Young Adults,No,260.84,832
PRD0006,Clothing,Aisle,387.41,Yes,Low,Young Adults,Yes,347.43,788
PRD0007,Clothing,Aisle,410.1,No,Medium,College Students,Yes,355.73,707
PRD0008,Clothing,End-cap,122.27,No,Medium,College Students,Yes,135.7,900
PRD0009,Food,Aisle,438.75,Yes,High,Young Adults,No,452.06,1263
PRD0010,Clothing,Front of Store,492.92,No,Medium,Seniors,No,523.69,828
PRD0011,Food,Aisle,263.02,No,Medium,Families,No,225.19,613
PRD0012,Food,Front of Store,209.71,Yes,Low,Seniors,Yes,239.27,651
PRD0013,Food,Front of Store,141.2,Yes,High,Seniors,Yes,155.28,1327
PRD0014,Clothing,Front of Store,,No,Low,Seniors,No,256.37,412
PRD0015,Food,Aisle,297.88,No,Medium,Seniors,No,269.45,386
PRD0016,Electronics,Aisle,368.93,Yes,Low,Families,No,333.89,416
PRD0017,Clothing,End-cap,91.69,Yes,High,College Students,No,86.31,671
PRD0018,Clothing,Aisle,340.98,No,Medium,College Students,No,343.51,533
PRD0019,Clothing,Aisle,280.15,No,High,Families,No,274.43,527
PRD0020,Clothing,Front of Store,28.21,No,Medium,Families,No,26.44,401
PRD0021,Clothing,Aisle,175.49,Yes,Medium,Seniors,No,181.38,753
PRD0022,Food,Aisle,323.44,No,Medium,Families,No,288.46,708
PRD0023,Food,Front of Store,193.67,No,High,College Students,No,181.59,1147
PRD0024,Clothing,Aisle,264.61,No,Low,Young Adults,No,254.0,185
PRD0025,Food,Front of Store,349.67,Yes,High,Young Adults,No,345.06,822
PRD0026,Clothing,Aisle,207.09,No,Medium,Young Adults,Yes,224.81,705
PRD0027,Food,Aisle,153.44,Yes,High,Seniors,Yes,139.62,687
PRD0028,Food,End-cap,96.02,Yes,High,College Students,No,96.43,1400
PRD0029,Food,Aisle,271.27,,High,Young Adults,Yes,278.79,961
PRD0030,Food,Front of Store,124.28,No,Medium,Seniors,No,107.37,425
PRD0031,Electronics,Aisle,116.55,Yes,High,Young Adults,Yes,120.31,1106
PRD0032,Clothing,End-cap,429.48,Yes,High,Families,No,387.03,818
PRD0033,Electronics,Aisle,76.45,Yes,Low,Families,Yes,66.47,372
PRD0034,Food,Aisle,234.2,No,Low,Seniors,No,265.74,421
PRD0035,Electronics,Front of Store,33.52,Yes,High,Seniors,Yes,38.2,671
PRD0036,Clothing,End-cap,209.28,No,High,Seniors,No,228.64,1307
PRD0037,Clothing,Aisle,,No,Medium,Seniors,Yes,198.79,497
PRD0038,Food,Aisle,267.35,No,Medium,Young Adults,Yes,235.08,582
PRD0039,Electronics,Front of Store,197.27,Yes,Low,Seniors,Yes,208.17,640
PRD0040,Electronics,Aisle,131.22,Yes,Low,Seniors,Yes,128.86,641
PRD0041,Electronics,Aisle,168.48,No,Medium,Seniors,No,149.38,518
PRD0042,Clothing,Aisle,44.14,No,Low,Families,Yes,44.08,304
PRD0043,Clothing,End-cap,227.64,No,Medium,College Students,Yes,195.84,725
PRD0044,Electronics,Aisle,188.68,No,Medium,Families,No,211.85,639
PRD0045,Clothing,Front of Store,270.14,No,High,Families,Yes,250.59,913
PRD0046,Clothing,End-cap,415.56,Yes,High,Families,No,435.82,1519
PRD0047,Electronics,Aisle,30.51,Yes,Low,College Students,No,28.79,359
PRD0048,Clothing,Aisle,191.7,Yes,High,College Students,No,192.85,859
PRD0049,Electronics,End-cap,,Yes,High,Families,No,308.73,869
PRD0050,Electronics,Aisle,24.58,No,Medium,Seniors,Yes,22.26,762
PRD0051,Food,Aisle,41.03,No,Low,Families,Yes,46.81,241
PRD0052,Electronics,Front of Store,403.3,No,High,Families,No,436.59,784
PRD0053,Clothing,End-cap,295.85,,Low,Families,Yes,334.86,422
PRD0054,Food,Front of Store,337.37,Yes,Medium,College Students,No,377.33,1088
PRD0055,Electronics,Aisle,112.42,Yes,High,Families,No,115.72,977
PRD0056,Food,Front of Store,108.4,Yes,Medium,Young Adults,No,122.12,1179
PRD0057,Clothing,Aisle,453.98,No,High,Families,No,397.94,598
PRD0058,Electronics,End-cap,155.08,Yes,Low,Families,No,140.94,690
PRD0059,Clothing,End-cap,454.95,No,Medium,Young Adults,Yes,392.88,524
PRD0060,Food,End-cap,109.84,,Medium,Families,No,104.08,1495
PRD0061,Electronics,Front of Store,,No,Low,Families,Yes,95.75,270
PRD0062,Food,Front of Store,372.03,Yes,Medium,Families,No,346.51,852
PRD0063,Food,Aisle,374.71,Yes,Low,Seniors,Yes,411.66,595
PRD0064,Electronics,End-cap,378.39,,Medium,Seniors,Yes,362.13,1022
PRD0065,Food,Front of Store,457.65,No,Medium,Seniors,Yes,427.57,566
PRD0066,Clothing,Aisle,349.34,Yes,Medium,Young Adults,No,353.81,687
PRD0067,Food,Front of Store,353.37,No,Low,Families,Yes,315.3,425
PRD0068,Clothing,Aisle,201.33,Yes,High,Families,No,219.58,1025
PRD0069,Clothing,Front of Store,123.47,No,Medium,Seniors,No,107.71,773
